AIC BIC aBIC DIC
cuts_wide_bayes_r47 NA NA NA NA
cuts_long_bayes_r47 NA NA NA 118139.58
tso_wide_ml_r47 -999 -999 -999 -999
tso_wide_bayes_r47 NA NA NA NA
tso_long_bayes_r47 NA NA NA 105096.774
msst_wide_ml_r48 -999 -999 -999 -999
msst_long_ml_r48 125584.992 125698.672 125647.827 NA
msst_wide_bayes_r48 NA NA NA NA
msst_long_bayes_r48 NA NA NA 123604.825
cuts_wide_ml_r48 -999 -999 -999 -999
cuts_long_ml_r48 -999 -999 -999 -999
cuts_wide_bayes_r48 NA NA NA NA
cuts_long_bayes_r48 NA NA NA 118040.3
tso_wide_ml_r48 -999 -999 -999 -999
tso_wide_bayes_r48 NA NA NA NA
tso_long_bayes_r48 NA NA NA 104851.556
msst_wide_ml_r49 -999 -999 -999 -999
msst_long_ml_r49 126709.989 126823.669 126772.824 NA
msst_wide_bayes_r49 NA NA NA NA
msst_long_bayes_r49 NA NA NA 124890.066
cuts_wide_ml_r49 -999 -999 -999 -999
cuts_long_ml_r49 -999 -999 -999 -999
cuts_wide_bayes_r49 NA NA NA NA
cuts_long_bayes_r49 NA NA NA 118342.246
tso_wide_ml_r49 -999 -999 -999 -999
tso_wide_bayes_r49 NA NA NA NA
tso_long_bayes_r49 NA NA NA 105194.447
msst_wide_ml_r50 -999 -999 -999 -999
msst_long_ml_r50 126627.429 126741.109 126690.263 NA
msst_wide_bayes_r50 NA NA NA NA
msst_long_bayes_r50 NA NA NA 124990.033
cuts_wide_ml_r50 -999 -999 -999 -999
cuts_long_ml_r50 -999 -999 -999 -999
cuts_wide_bayes_r50 NA NA NA NA
cuts_long_bayes_r50 NA NA NA 118384.462
tso_wide_ml_r50 -999 -999 -999 -999
tso_wide_bayes_r50 NA NA NA NA
tso_long_bayes_r50 NA NA NA 105168.186
msst_wide_ml_r51 -999 -999 -999 -999
msst_long_ml_r51 127087.306 127200.986 127150.14 NA
msst_wide_bayes_r51 NA NA NA NA
msst_long_bayes_r51 NA NA NA 125385.244
cuts_wide_ml_r51 -999 -999 -999 -999
